Brand,Name,Price,Year,City,Car case,Volume,Transmission,Mileage,Gear,Steer wheel,Color,Custom clearance
Toyota,Camry,11200000,2015,Алматы,седан,2.5,автомат,140000.0,передний привод,слева,белый,Да
BMW,530,28000000,2020,Алматы,седан,2.0,автомат,14000.0,задний привод,слева,белый,Да
Mercedes-Benz,E 250,8200000,2011,Алматы,седан,1.8,автомат,,задний привод,слева,белый,Да
BMW,X7,56500000,2021,Алматы,кроссовер,3.0,автомат,18000.0,полный привод,слева,черный,Да
Hyundai,Tucson,16950000,2022,Алматы,кроссовер,2.5,автомат,17000.0,полный привод,слева,синий металлик,Да
Kia,K8,21800000,2022,Алматы,седан,2.5,автомат,21000.0,передний привод,слева,синий металлик,Да
Mercedes-Benz,C 180,13000000,2014,Алматы,седан,1.6,автомат,120000.0,задний привод,слева,белый,Да
Toyota,Camry,19200000,2023,Алматы,седан,2.5,автомат,33.0,передний привод,слева,черный,Да
Toyota,Land Cruiser Prado,35300000,2022,Алматы,внедорожник,2.7,автомат,4100.0,полный привод,слева,серый металлик,Да
Infiniti,FX35,5500000,2004,Алматы,кроссовер,3.5,автомат,216000.0,полный привод,слева,серый металлик,Да
Toyota,Corolla,9450000,2019,Алматы,седан,1.8,вариатор,70000.0,передний привод,слева,белый металлик,Да
Mercedes-Benz,S 320,3200000,1997,Алматы,седан,3.2,автомат,,задний привод,слева,белый металлик,Да
BMW,535,11000000,2014,Алматы,седан,3.0,автомат,,полный привод,слева,серый,Да
Mercedes-Benz,G 63 AMG,115000000,2020,Алматы,внедорожник,4.0,автомат,32000.0,полный привод,слева,,Да
Lexus,RX 330,9000000,2004,Алматы,кроссовер,3.3,автомат,110000.0,полный привод,слева,золотистый металлик,Да
Mercedes-Benz,E 230,1500000,1990,Алматы,седан,2.3,автомат,374000.0,задний привод,слева,серый металлик,Да
Mitsubishi,Pajero,4400000,1997,Алматы,внедорожник,2.8,автомат,360000.0,полный привод,справа,белый,Да
Toyota,Land Cruiser Prado,9600000,2005,Алматы,внедорожник,2.7,автомат,330000.0,полный привод,слева,золотистый металлик,Да
ВАЗ (Lada),Vesta,5800000,2020,Алматы,седан,1.6,механика,79000.0,передний привод,слева,белый,Да
Volkswagen,ID.4,14600000,2023,Алматы,кроссовер,,автомат,,задний привод,слева,золотистый,Да
Volkswagen,ID.6,16300000,2023,Алматы,кроссовер,,автомат,,задний привод,слева,синий,Да
Subaru,Forester,8000000,2009,Алматы,кроссовер,2.5,автомат,160000.0,полный привод,слева,белый металлик,Да
Lexus,GS 300,4950000,2001,Алматы,седан,3.0,автомат,377880.0,задний привод,слева,серебристый металлик,Да
Toyota,HiAce,6500000,2004,Алматы,микроавтобус,2.5,механика,,задний привод,слева,,Да
Lexus,RX 300,6200000,1999,Алматы,кроссовер,3.0,автомат,,полный привод,слева,серебристый металлик,Да
Ravon,Nexia R3,3300000,2019,Алматы,седан,1.5,механика,242000.0,передний привод,слева,синий,Да
Mitsubishi,Delica,4500000,1997,Алматы,минивэн,2.8,автомат,360000.0,полный привод,справа,зеленый,Да
Lexus,RX 350,11000000,2008,Алматы,кроссовер,3.5,автомат,90000.0,полный привод,слева,,Да
Toyota,RAV 4,10830000,2013,Алматы,кроссовер,2.0,вариатор,187540.0,полный привод,слева,черный,Да
Toyota,Land Cruiser,61800000,2023,Алматы,внедорожник,3.5,автомат,5.0,полный привод,слева,черный металлик,Да
Li,L7,27500000,2023,Алматы,кроссовер,1.5,автомат,,полный привод,слева,черный металлик,Да
Toyota,Camry,19000000,2021,Алматы,седан,3.5,автомат,,передний привод,слева,черный металлик,Да
Lexus,LX 570,20000000,2008,Алматы,внедорожник,5.7,автомат,210000.0,полный привод,слева,,Да
BMW,X5,12600000,2012,Алматы,кроссовер,3.0,автомат,111000.0,полный привод,слева,белый металлик,Да
Dodge,Ram,40000000,2019,Алматы,пикап,5.7,автомат,140000.0,полный привод,слева,черный металлик,Да
Renault,Sandero Stepway,3600000,2016,Алматы,хэтчбек,1.6,механика,148000.0,передний привод,слева,серебристый,Да
Nissan,Elgrand,5000000,1999,Алматы,минивэн,3.3,автомат,,полный привод,слева,,Да
Infiniti,FX35,13500000,2008,Алматы,кроссовер,3.5,автомат,85277.0,полный привод,слева,белый,Да
Honda,Element,8500000,2010,Алматы,кроссовер,2.4,автомат,196000.0,полный привод,слева,серебристый металлик,Да
Toyota,Land Cruiser Prado,40000000,2022,Алматы,внедорожник,4.0,автомат,14000.0,полный привод,слева,белый металлик,Да
Lexus,RX 350,10000000,2008,Алматы,кроссовер,3.5,автомат,,полный привод,слева,серебристый,Да
BMW,M5,50000000,2018,Алматы,седан,4.4,автомат,56000.0,полный привод,слева,бордовый,Да
BMW,X5,16500000,2014,Алматы,кроссовер,3.0,автомат,195000.0,полный привод,слева,белый,Да
Kia,K8,21990000,2022,Алматы,седан,3.5,автомат,,передний привод,слева,черный,Да
Audi,RS 7,90000000,2022,Алматы,лифтбек,4.0,автомат,3500.0,полный привод,слева,серый,Да
Toyota,Highlander,18300000,2018,Алматы,кроссовер,3.5,автомат,40000.0,полный привод,слева,,Да
ВАЗ (Lada),Granta 2190 (седан),2700000,2012,Алматы,седан,1.6,механика,,передний привод,слева,,Да
ВАЗ (Lada),2121 Нива,11500000,2019,Алматы,внедорожник,1.7,механика,19000.0,полный привод,слева,серый металлик,Да
Subaru,Legacy,2200000,1997,Алматы,универсал,2.5,автомат,408187.0,полный привод,слева,вишня,Да
ВАЗ (Lada),21099 (седан),700000,2003,Конаев (Капшагай),седан,1.5,механика,245382.0,передний привод,слева,зеленый металлик,Да
Kia,Telluride,15800000,2020,Алматы,внедорожник,3.8,автомат,53149.0,полный привод,слева,серебристый металлик,Да
Mercedes-Benz,GLC 300,45500000,2023,Алматы,кроссовер,2.0,автомат,,полный привод,слева,черный металлик,Да
Kia,K5,14400000,2021,Алматы,седан,1.6,автомат,54000.0,передний привод,слева,белый металлик,Да
Kia,K7,11500000,2019,Алматы,седан,3.0,автомат,97000.0,передний привод,слева,,Да
Nissan,Terrano,7890000,2018,Алматы,кроссовер,2.0,автомат,65910.0,полный привод,слева,черный металлик,Да
Nissan,Maxima,2150000,1995,Есик,седан,3.0,автомат,123.0,передний привод,слева,золотистый,Да
Hyundai,Accent,6350000,2013,Алматы,седан,1.6,автомат,67000.0,передний привод,слева,серый металлик,Да
Volkswagen,Polo,8800000,2021,Алматы,лифтбек,1.6,автомат,63000.0,передний привод,слева,серый металлик,Да
Audi,Q7,6100000,2007,Алматы,кроссовер,4.2,автомат,218000.0,полный привод,слева,серебристый металлик,Да
Lexus,GX 470,11400000,2005,Алматы,внедорожник,4.7,автомат,341108.0,полный привод,слева,серый,Да
Mercedes-Benz,S 500,4500000,1998,Алматы,седан,5.0,автомат,256000.0,задний привод,слева,зеленый металлик,Да
Toyota,RAV 4,2600000,1994,Алматы,кроссовер,2.0,автомат,,полный привод,справа,синий,Да
Daewoo,Nexia,2000000,2013,Алматы,седан,1.5,механика,,передний привод,слева,,Да
Volkswagen,Passat,1100000,1989,Алматы,универсал,1.8,механика,,передний привод,слева,серебристый металлик,Да
BMW,525,3200000,1990,Алматы,седан,2.5,механика,,задний привод,слева,,Да
ВАЗ (Lada),2115 (седан),1800000,2006,Каскелен,седан,1.6,механика,123456.0,передний привод,слева,серый металлик,Да
Mercedes-Benz,E 320,4800000,1994,Алматы,седан,3.2,автомат,,задний привод,слева,черный металлик,Да
Toyota,Windom,1700000,1994,Алматы,седан,3.0,автомат,,передний привод,справа,зеленый металлик,Да
Land Rover,Range Rover Sport,12000000,2011,Алматы,внедорожник,5.0,автомат,211000.0,полный привод,слева,белый,Да
Land Rover,Range Rover,12000000,2011,Алматы,внедорожник,5.0,автомат,263000.0,полный привод,слева,черный металлик,Да
BMW,M5,25500000,2014,Алматы,седан,4.4,робот,73000.0,задний привод,слева,белый,Да
Toyota,4Runner,17900000,2015,Алматы,внедорожник,4.0,автомат,,полный привод,слева,черный металлик,Да
Toyota,Highlander,17000000,2014,Алматы,кроссовер,3.5,автомат,64000.0,полный привод,слева,серый,Да
Mercedes-Benz,S 320,2500000,1995,Алматы,седан,3.2,автомат,400000.0,задний привод,слева,,Да
Hyundai,Palisade,23500000,2021,Алматы,кроссовер,3.8,автомат,49000.0,полный привод,слева,синий,Да
Hyundai,Grandeur,21900000,2023,Алматы,седан,2.5,автомат,1500.0,передний привод,слева,черный,Да
Toyota,Tundra,15900000,2008,Алматы,пикап,5.7,автомат,205.0,полный привод,слева,,Да
Toyota,Land Cruiser Prado,33500000,2023,Алматы,внедорожник,4.0,механика,32.0,полный привод,слева,белый,Да
ВАЗ (Lada),Granta 2191 (лифтбек),2600000,2013,Алматы,лифтбек,1.6,механика,,передний привод,слева,,Да
Kia,Rio,5800000,2015,Алматы,седан,1.6,автомат,,передний привод,слева,,Да
Toyota,Camry,13000000,2020,Алматы,седан,2.5,автомат,104520.0,передний привод,слева,серый металлик,Да
Toyota,Yaris,5400000,2010,Алматы,седан,1.5,автомат,162408.0,передний привод,слева,серый,Да
Changan,UNI-K,14500000,2023,Алматы,кроссовер,1.5,робот,,передний привод,слева,белый,Нет
Subaru,Legacy,1650000,1994,Алматы,седан,2.0,автомат,,полный привод,слева,,Да
BYD,Seal,13373090,2023,Алматы,седан,,автомат,,задний привод,слева,черный,Нет
Zeekr,001,19150000,2023,Алматы,лифтбек,,автомат,,задний привод,слева,черный,Да
Zeekr,001,19150000,2023,Алматы,лифтбек,,автомат,,полный привод,слева,белый,Да
Zeekr,X,16800000,2023,Алматы,кроссовер,,автомат,,полный привод,слева,,Да
Mercedes-Benz,G 63 AMG,160000000,2023,Алматы,внедорожник,4.0,автомат,,полный привод,слева,голубой,Да
Nissan,Terrano,2100000,1997,Алматы,внедорожник,2.7,автомат,300000.0,полный привод,справа,зеленый,Да
Toyota,Camry,15200000,2022,Алматы,седан,2.5,вариатор,24000.0,передний привод,слева,,Да
Toyota,Camry,5000000,2002,Алматы,седан,2.4,автомат,372724.0,передний привод,слева,серебристый металлик,Да
Nissan,Juke,6700000,2014,Алматы,кроссовер,1.6,вариатор,155000.0,полный привод,слева,коричневый металлик,Да
BMW,X5,8500000,2007,Алматы,кроссовер,3.0,автомат,,полный привод,слева,черный металлик,Да
BMW,X6,12000000,2008,Алматы,кроссовер,3.0,автомат,181000.0,полный привод,слева,черный металлик,Да
GMC,Sierra,25000000,2021,Алматы,пикап,2.7,автомат,9000.0,полный привод,слева,серебристый металлик,Да
Hyundai,Elantra,8800000,2017,Алматы,седан,2.0,автомат,52000.0,передний привод,слева,серый,Да
Toyota,Sienna,12500000,2011,Алматы,минивэн,3.5,автомат,,передний привод,слева,серый металлик,Да
Hyundai,Sonata,7800000,2019,Алматы,седан,2.0,автомат,130000.0,передний привод,слева,серебристый,Да
Toyota,Land Cruiser,17550000,2007,Алматы,внедорожник,5.7,автомат,156000.0,полный привод,слева,белый металлик,Да
Kia,Rio X-Line,9150000,2021,Алматы,хэтчбек,1.6,автомат,100000.0,передний привод,слева,серебристый металлик,Да
Kia,Mohave,27800000,2022,Алматы,внедорожник,3.0,автомат,30.0,полный привод,слева,,Да
BMW,X5,18500000,2015,Алматы,кроссовер,3.0,автомат,125000.0,полный привод,слева,белый металлик,Да
Chevrolet,Monza,8950000,2023,Алматы,седан,1.5,робот,10.0,передний привод,слева,черный металлик,Да
Hyundai,Palisade,25400000,2021,Алматы,кроссовер,3.8,автомат,16500.0,полный привод,слева,белый металлик,Да
Hyundai,Santa Fe,22000000,2023,Алматы,кроссовер,2.5,автомат,7100.0,полный привод,слева,белый,Да
Audi,Q8,44000000,2019,Алматы,кроссовер,3.0,автомат,33000.0,полный привод,слева,синий металлик,Да
Zeekr,001,26656000,2023,Алматы,лифтбек,,автомат,,полный привод,слева,белый,Да
Toyota,Land Cruiser,11800000,2006,Алматы,внедорожник,4.7,автомат,,полный привод,слева,белый металлик,Да
Nissan,Cefiro,2200000,1999,Алматы,седан,2.0,автомат,,передний привод,справа,серебристый металлик,Да
Lexus,RX 350,16850000,2015,Алматы,кроссовер,3.5,автомат,210000.0,полный привод,слева,черный металлик,Да
Hyundai,Tucson,10500000,2019,Алматы,кроссовер,2.0,автомат,85000.0,полный привод,слева,серый металлик,Да
Voyah,Free,21200000,2023,Алматы,кроссовер,,автомат,1000.0,полный привод,слева,серый металлик,Да
BMW,X1,14000000,2018,Алматы,кроссовер,1.5,автомат,33300.0,передний привод,слева,синий,Да
Toyota,Estima,6300000,2004,Алматы,минивэн,2.4,автомат,260000.0,передний привод,справа,серый металлик,Да
Hyundai,Palisade,25000000,2021,Алматы,кроссовер,3.8,автомат,30000.0,передний привод,слева,белый металлик,Да
Toyota,Land Cruiser Prado,17850000,2013,Алматы,внедорожник,2.7,автомат,154000.0,полный привод,слева,белый,Да
BYD,Yuan,13500000,2023,Алматы,кроссовер,,автомат,,передний привод,слева,белый металлик,Да
Hyundai,Bayon,9690000,2023,Алматы,кроссовер,1.4,автомат,15.0,передний привод,слева,черный,Да
BMW,X5,12500000,2011,Алматы,кроссовер,3.0,автомат,250000.0,полный привод,слева,серый металлик,Да
Kia,Sportage,14800000,2023,Алматы,кроссовер,2.0,автомат,,передний привод,слева,,Да
Chevrolet,Equinox,15000000,2022,Алматы,кроссовер,2.0,автомат,23300.0,полный привод,слева,черный металлик,Да
Mitsubishi,Pajero,2900000,1996,Алматы,внедорожник,2.8,автомат,298000.0,полный привод,справа,,Да
Audi,Q8,52000000,2022,Алматы,кроссовер,3.0,автомат,109.0,полный привод,слева,черный металлик,Нет
Subaru,Outback,8900000,2013,Алматы,универсал,2.5,вариатор,80000.0,полный привод,слева,синий,Да
Foton,Alpha,1400000,2007,Алматы,фургон,2.2,механика,150000.0,задний привод,слева,белый,Да
Toyota,Corolla,5300000,2008,Алматы,седан,1.6,автомат,240000.0,передний привод,слева,черный металлик,Да
ВАЗ (Lada),2109 (хэтчбек),1200000,2004,Алматы,хэтчбек,1.5,механика,205000.0,передний привод,слева,серый,Да
Daewoo,Nexia,600000,1998,Алматы,седан,1.5,механика,,передний привод,слева,,Да
Mercedes-Benz,GL 450,17000000,2013,Алматы,внедорожник,4.7,автомат,77777.0,полный привод,слева,черный,Да
Kia,K8,19500000,2021,Алматы,седан,2.5,автомат,3500.0,передний привод,слева,серый,Да
Tesla,Model S,19300000,2015,Алматы,лифтбек,,автомат,52000.0,полный привод,слева,красный,Да
Chevrolet,Spark,4100000,2013,Алматы,хэтчбек,1.0,автомат,127000.0,передний привод,слева,красный,Да
Lexus,RX 330,7000000,2003,Алматы,кроссовер,3.3,автомат,,передний привод,слева,,Да
Toyota,Land Cruiser,46500000,2019,Алматы,внедорожник,4.6,автомат,100000.0,полный привод,слева,,Да
Hyundai,Sonata,14900000,2022,Алматы,седан,2.5,автомат,,передний привод,слева,,Да
Mercedes-Benz,GLS 450,27000000,2017,Алматы,внедорожник,3.0,автомат,108000.0,полный привод,слева,белый металлик,Да
Tesla,Model X,36000000,2017,Алматы,кроссовер,,автомат,55000.0,полный привод,слева,,Да
Volkswagen,Passat,1600000,1998,Есик,седан,1.8,механика,360000.0,передний привод,слева,,Да
BMW,525,4100000,2001,Алматы,седан,2.5,автомат,390000.0,задний привод,слева,серый,Да
Peugeot,3008,5100000,2015,Алматы,кроссовер,1.6,механика,150000.0,передний привод,слева,,Да
Lexus,LX 470,10900000,2003,Алматы,внедорожник,4.7,автомат,,полный привод,слева,бежевый металлик,Да
BMW,318,1200000,1995,Каскелен,купе,1.8,механика,,задний привод,слева,фиолетовый металлик,Да
Volkswagen,Passat,6300000,2014,Алматы,седан,1.8,робот,160000.0,передний привод,слева,серый металлик,Да
Mercedes-Benz,E 320,6500000,2003,Алматы,седан,3.2,автомат,,задний привод,слева,,Да
Volkswagen,Polo,7100000,2020,Алматы,седан,1.6,автомат,96200.0,передний привод,слева,,Да
Maserati,Quattroporte,18200000,2013,Алматы,седан,3.0,автомат,23000.0,полный привод,слева,черный,Да
Kia,K5,8500000,2016,Алматы,седан,2.0,автомат,177080.0,передний привод,слева,серебристый,Да
Audi,80,1500000,1994,Алматы,седан,2.3,автомат,2999.0,передний привод,слева,зеленый,Да
Toyota,Camry,5900000,2007,Алматы,седан,2.4,автомат,370000.0,передний привод,слева,,Да
Mercedes-Benz,S 500,13000000,1997,Алматы,седан,5.0,автомат,,задний привод,слева,,Да
Chevrolet,Cobalt,6600000,2022,Алматы,седан,1.5,автомат,23360.0,передний привод,слева,белый,Да
Dodge,Ram,43000000,2023,Алматы,пикап,5.7,автомат,,полный привод,слева,черный,Да
Mercedes-Benz,G 500,25000000,2009,Алматы,внедорожник,5.5,автомат,233000.0,полный привод,слева,черный металлик,Да
Toyota,Land Cruiser Prado,8200000,1996,Алматы,внедорожник,3.0,автомат,94000.0,полный привод,слева,синий металлик,Да
Audi,A6,9300000,2010,Алматы,седан,3.0,автомат,195889.0,полный привод,слева,черный металлик,Да
ВАЗ (Lada),Largus,3000000,2014,Алматы,универсал,1.6,механика,335385.0,передний привод,слева,белый,Да
Kia,Morning,4200000,2012,Алматы,хэтчбек,1.0,автомат,113572.0,передний привод,слева,,Да
BMW,X6 M,17600000,2011,Алматы,кроссовер,4.4,автомат,,полный привод,слева,черный металлик,Да
Mitsubishi,Outlander,3790000,2003,Алматы,кроссовер,2.4,автомат,177970.0,полный привод,слева,серебристый металлик,Да
Hyundai,Accent,5350000,2014,Алматы,седан,1.6,автомат,114633.0,передний привод,слева,,Да
Mercedes-Benz,S 580,75000000,2022,Алматы,седан,4.0,автомат,10700.0,полный привод,слева,черный металлик,Да
Hyundai,Grandeur,11500000,2018,Алматы,седан,3.0,автомат,,передний привод,слева,серебристый металлик,Да
BMW,X5,7500000,2006,Алматы,кроссовер,3.0,автомат,225000.0,полный привод,слева,черный металлик,Да
Toyota,Sequoia,65000000,2023,Алматы,внедорожник,3.5,автомат,42.0,полный привод,слева,серый,Да
Nissan,Juke,8000000,2014,Алматы,кроссовер,1.6,вариатор,69500.0,полный привод,слева,черный металлик,Да
Audi,RS Q8,79500000,2022,Алматы,внедорожник,4.0,автомат,11000.0,полный привод,слева,черный металлик,Да
Hyundai,Starex,12500000,2015,Алматы,минивэн,2.5,автомат,277800.0,полный привод,слева,белый металлик,Да
BMW,335,9300000,2007,Алматы,универсал,3.5,автомат,,задний привод,слева,,Да
Mercedes-Benz,G 63 AMG,130000000,2022,Алматы,внедорожник,4.0,автомат,,полный привод,слева,черный,Да
Toyota,Camry,5200000,2004,Алматы,седан,2.4,автомат,,передний привод,слева,,Да
Toyota,Land Cruiser Prado,16000000,2006,Алматы,внедорожник,4.0,автомат,,полный привод,слева,черный металлик,Да
Volkswagen,Golf,2559090,1999,Алматы,хэтчбек,2.3,автомат,,передний привод,слева,черный металлик,Да
Mercedes-Benz,E 280,4400000,2001,Алматы,седан,2.8,автомат,,задний привод,слева,серебристый металлик,Да
Mercedes-Benz,Sprinter,15000000,2018,Алматы,фургон,2.2,механика,186000.0,задний привод,слева,жёлтый,Да
Mercedes-Benz,G 63 AMG,130000000,2022,Алматы,внедорожник,4.0,автомат,10800.0,полный привод,слева,черный,Да
Toyota,Land Cruiser,39990000,2019,Алматы,внедорожник,4.6,автомат,102000.0,полный привод,слева,белый,Да
Hyundai,Elantra,10500000,2023,Алматы,седан,1.6,автомат,,передний привод,слева,,Да
Chery,Tiggo 8 Pro,11900000,2022,Алматы,кроссовер,1.6,робот,29000.0,передний привод,слева,синий металлик,Да
Hyundai,Sonata,10600000,2018,Алматы,седан,2.4,автомат,91000.0,передний привод,слева,серый,Да
BYD,Seal,15436960,2023,Алматы,седан,,автомат,,задний привод,слева,голубой,Нет
Zeekr,001,24500000,2023,Алматы,лифтбек,,автомат,,полный привод,слева,голубой,Нет
Toyota,bZ4X,17000000,2023,Алматы,кроссовер,,автомат,,полный привод,слева,белый,Да
BYD,Song,13400000,2023,Алматы,кроссовер,,автомат,,задний привод,слева,серый,Нет
Toyota,Land Cruiser Prado,5677777,1994,Алматы,внедорожник,3.0,автомат,,полный привод,слева,зеленый,Да
Toyota,RAV 4,15200000,2021,Алматы,кроссовер,2.0,вариатор,,передний привод,слева,,Да
Toyota,Corolla,8500000,2021,Алматы,седан,1.6,автомат,,передний привод,слева,,Да
Mazda,Capella,1200000,1997,Алматы,универсал,2.0,автомат,100000.0,передний привод,справа,зеленый,Да
ВАЗ (Lada),Granta 2190 (седан),2550000,2012,Алматы,седан,1.6,механика,222222.0,передний привод,слева,серебристый металлик,Да
Toyota,Highlander,5900000,2001,Алматы,кроссовер,2.4,автомат,,полный привод,слева,белый,Да
Toyota,RAV 4,14500000,2018,Алматы,кроссовер,2.0,вариатор,70000.0,полный привод,слева,белый металлик,Да
Kia,K8,19500000,2021,Алматы,седан,2.5,автомат,30000.0,передний привод,слева,черный металлик,Да
Lexus,RX 330,8500000,2004,Алматы,кроссовер,3.3,автомат,,полный привод,слева,серебристый,Да
Toyota,Chaser,4300000,1998,Алматы,седан,3.0,автомат,186000.0,задний привод,справа,белый металлик,Да
Lexus,LX 570,59000000,2018,Алматы,внедорожник,5.7,автомат,76000.0,полный привод,слева,,Да
BMW,X6,49000000,2020,Алматы,кроссовер,3.0,автомат,27000.0,полный привод,слева,,Да
Chevrolet,Aveo,2700000,2011,Алматы,седан,1.4,механика,174500.0,передний привод,слева,белый,Да
Honda,Orthia,2100000,1996,Алматы,универсал,2.0,автомат,120000.0,полный привод,справа,синий металлик,Да
Toyota,Camry,6190000,2004,Алматы,седан,3.0,автомат,,передний привод,слева,белый металлик,Да
BMW,X5 M,63000000,2023,Алматы,кроссовер,4.4,автомат,,полный привод,слева,серый металлик,Да
Mitsubishi,Galant,1300000,1994,Алматы,седан,1.8,механика,250000.0,передний привод,слева,вишня металлик,Да
Toyota,Mark II,4000000,1999,Алматы,седан,2.5,автомат,,задний привод,справа,белый,Да
ГАЗ,ГАЗель,2900000,2003,Алматы,фургон,2.7,механика,,полный привод,слева,,Да
ГАЗ,ГАЗель,4200000,2012,Алматы,фургон,2.9,механика,500000.0,задний привод,слева,белый,Да
BMW,X7,54900000,2021,Алматы,кроссовер,3.0,автомат,24000.0,полный привод,слева,черный металлик,Да
Geely,Emgrand EC7,2500000,2015,Алматы,седан,1.8,механика,160000.0,передний привод,слева,,Да
Li,L9,33200000,2023,Алматы,кроссовер,1.5,автомат,50.0,полный привод,слева,черный металлик,Да
Toyota,RAV 4,18500000,2021,Алматы,кроссовер,2.0,вариатор,14000.0,полный привод,слева,белый металлик,Да
Toyota,Land Cruiser,68000000,2021,Алматы,внедорожник,3.5,автомат,64000.0,полный привод,слева,белый,Да
Toyota,Land Cruiser Prado,2800000,1993,Алматы,внедорожник,3.0,автомат,,полный привод,справа,серый,Да
Toyota,Highlander,10800000,2013,Алматы,кроссовер,3.5,автомат,151246.0,полный привод,слева,синий металлик,Нет
Hyundai,Sonata,21000000,2023,Алматы,седан,1.6,автомат,,передний привод,слева,серый металлик,Да
Opel,Frontera,1600000,1994,Алматы,внедорожник,2.0,механика,,полный привод,слева,фиолетовый,Да
Toyota,Land Cruiser Prado,14000000,2007,Алматы,внедорожник,4.0,автомат,230000.0,полный привод,слева,белый,Да
Toyota,Land Cruiser Prado,26500000,2015,Алматы,внедорожник,4.0,автомат,71000.0,полный привод,слева,белый металлик,Да
Toyota,Highlander,15200000,2013,Алматы,кроссовер,3.5,автомат,225000.0,полный привод,слева,черный металлик,Да
Changan,UNI-K,16800000,2022,Алматы,кроссовер,2.0,автомат,5000.0,полный привод,слева,синий металлик,Да
Toyota,Sienna,15000000,2013,Алматы,минивэн,3.5,автомат,180208.0,передний привод,слева,синий металлик,Да
Tesla,Model Y,23000000,2022,Алматы,кроссовер,,автомат,1400.0,полный привод,слева,,Да
Zeekr,X,16500000,2023,Алматы,кроссовер,,автомат,,полный привод,слева,серебристый,Да
Subaru,Outback,6000000,2005,Алматы,универсал,2.5,автомат,252000.0,полный привод,слева,золотистый металлик,Да
Porsche,Macan,24000000,2014,Алматы,кроссовер,3.6,робот,93000.0,полный привод,слева,белый,Да
Nissan,Patrol,26950000,2021,Алматы,внедорожник,5.6,автомат,17000.0,полный привод,слева,,Да
Mitsubishi,Pajero,8100000,2008,Алматы,внедорожник,3.2,автомат,,полный привод,слева,,Да
Toyota,Camry,17000000,2021,Алматы,седан,2.5,автомат,3422.0,передний привод,слева,белый металлик,Да
Hyundai,Sonata,13750000,2022,Алматы,седан,1.6,автомат,500.0,передний привод,слева,,Да
Toyota,Camry,17690000,2019,Алматы,седан,2.5,автомат,49000.0,передний привод,слева,черный металлик,Да
Lexus,GS 350,17000000,2017,Алматы,седан,3.5,автомат,84000.0,полный привод,слева,белый,Да
Toyota,Land Cruiser Prado,12800000,2007,Алматы,внедорожник,2.7,автомат,135000.0,полный привод,слева,черный металлик,Да
Toyota,Ipsum,2990000,1996,Алматы,минивэн,2.0,автомат,391700.0,полный привод,справа,серебристый металлик,Да
Hyundai,Creta,13325000,2022,Алматы,кроссовер,2.0,автомат,560.0,передний привод,слева,белый металлик,Да
Kia,Sorento,20000000,2021,Алматы,кроссовер,2.5,автомат,9300.0,полный привод,слева,серый металлик,Да
Audi,RS 6,33000000,2014,Алматы,универсал,4.0,автомат,86000.0,полный привод,слева,серый металлик,Да
Subaru,Outback,8000000,2006,Алматы,универсал,2.5,автомат,215000.0,полный привод,слева,золотистый металлик,Да
Nissan,Cefiro,2850000,1995,Алматы,седан,2.0,автомат,,передний привод,справа,белый,Да
Nissan,Cefiro,2650000,1995,Алматы,седан,2.5,автомат,272051.0,передний привод,справа,фиолетовый металлик,Да
Mercedes-Benz,G 500,93000000,2019,Алматы,внедорожник,4.0,автомат,33000.0,полный привод,слева,черный металлик,Да
Hyundai,Elantra,12000000,2021,Алматы,седан,2.0,автомат,31000.0,передний привод,слева,черный металлик,Да
Hyundai,Elantra,12000000,2022,Алматы,седан,1.6,автомат,14000.0,передний привод,слева,белый,Да
BMW,320,2500000,1995,Алматы,седан,2.0,автомат,,задний привод,слева,серебристый,Да
Mercedes-Benz,E 200,7500000,2015,Алматы,седан,2.0,автомат,94000.0,задний привод,слева,,Да
Genesis,GV70,26000000,2021,Алматы,кроссовер,2.4,автомат,8900.0,полный привод,слева,белый,Да
Toyota,Land Cruiser,21200000,2013,Алматы,внедорожник,4.0,автомат,234000.0,полный привод,слева,белый металлик,Да
Hyundai,Elantra,9890000,2021,Алматы,седан,1.6,автомат,61600.0,передний привод,слева,серый металлик,Да
ГАЗ,ГАЗель,4500000,2007,Алматы,фургон,2.9,механика,200000.0,задний привод,слева,белый,Да
Audi,e-tron Sportback,39999999,2021,Алматы,кроссовер,,автомат,15000.0,полный привод,слева,белый,Да
Tesla,Model 3,16000000,2020,Алматы,седан,,автомат,99000.0,полный привод,слева,белый металлик,Да
Infiniti,QX70,16000000,2017,Алматы,кроссовер,3.7,автомат,97000.0,полный привод,слева,черный,Да
Hyundai,Starex,17800000,2020,Алматы,минивэн,2.4,автомат,30000.0,задний привод,слева,белый металлик,Да
Lexus,LX 470,11999900,2007,Алматы,внедорожник,4.7,автомат,256000.0,полный привод,слева,белый,Да
Toyota,Camry,7100000,2005,Алматы,седан,3.0,автомат,,передний привод,слева,серебристый металлик,Да
Mercedes-Benz,S 63 AMG,40000000,2015,Алматы,седан,5.5,автомат,80000.0,полный привод,слева,черный,Да
Hyundai,Accent,5900000,2013,Алматы,седан,1.4,автомат,183800.0,передний привод,слева,белый,Да
Toyota,Highlander,24000000,2018,Алматы,кроссовер,3.5,автомат,40140.0,полный привод,слева,черный металлик,Да
Kia,Sportage,9000000,2014,Алматы,кроссовер,2.0,автомат,97000.0,передний привод,слева,серый металлик,Да
