Brand,Name,Price,Year,City,Car case,Volume,Transmission,Mileage,Gear,Steer wheel,Color,Custom clearance
Audi,100,1350000,1990,Алматы,седан,2.3,механика,350000.0,передний привод,слева,белый металлик,Да
BMW,X5,9000000,2008,Алматы,кроссовер,3.0,автомат,214000.0,полный привод,слева,серебристый металлик,Да
Mercedes-Benz,S 350,6800000,2003,Алматы,седан,3.7,автомат,,задний привод,слева,черный металлик,Да
Nissan,Murano,3500000,2007,Алматы,кроссовер,3.5,вариатор,,полный привод,слева,синий металлик,Да
Toyota,Camry,4500000,2002,Алматы,седан,2.4,автомат,,передний привод,слева,зеленый металлик,Да
Honda,Civic,1700000,1994,Алматы,хэтчбек,1.5,автомат,300000.0,передний привод,слева,зеленый,Да
Mercedes-Benz,E 500,9500000,2007,Алматы,седан,5.0,автомат,,задний привод,слева,белый,Да
Hyundai,Tucson,15750000,2021,Алматы,кроссовер,2.5,автомат,24511.0,полный привод,слева,белый,Да
Hyundai,Tucson,12400000,2020,Алматы,кроссовер,2.0,автомат,73413.0,передний привод,слева,черный,Да
Land Rover,Range Rover Evoque,11490000,2012,Алматы,кроссовер,2.0,автомат,131704.0,полный привод,слева,серый,Да
Toyota,Land Cruiser,22000000,2012,Алматы,внедорожник,4.0,автомат,260000.0,полный привод,слева,белый металлик,Да
Cadillac,Escalade,36000000,2020,Алматы,внедорожник,6.2,автомат,45000.0,полный привод,слева,черный,Да
Subaru,Impreza,1200000,1993,Райымбек (Карасайский р-н),универсал,1.8,механика,,полный привод,слева,вишня,Да
Subaru,Legacy,2500000,1998,Алматы,седан,2.0,механика,,полный привод,слева,,Да
Mercedes-Benz,190,1200000,1990,Байтерек,седан,2.2,механика,155555.0,задний привод,слева,серый,Да
BMW,X5,43000000,2021,Алматы,кроссовер,3.0,автомат,11000.0,полный привод,слева,черный,Да
Toyota,Nadia,3100000,1999,Алматы,минивэн,2.0,автомат,276000.0,передний привод,справа,вишня,Да
Lexus,RX 450h,16500000,2014,Алматы,кроссовер,3.5,вариатор,143000.0,полный привод,слева,черный,Да
Toyota,Camry,9300000,2011,Алматы,седан,2.5,автомат,183000.0,передний привод,слева,серый металлик,Да
Chevrolet,Cobalt,6450000,2021,Алматы,седан,1.5,автомат,92885.0,передний привод,слева,коричневый,Да
